Vaccine name	USDA ID	Parent term label	Parent term ID	Pathogen name	Pathogen (NCBITaxon_)	Host name label	Host (NCBITaxon_)	Licensed country	USA licensed vaccine role ID	Killed or attenuated component	Killed or attenuated ID	Manufacturer name	Manufacturer ID	VIOLIN ID
Pigeon Pox Live Virus Vaccine 	USDA: 1881.10	Pigeonpox virus vaccine	VO_0001481	Pigeonpox virus	10264	Birds	175121	USA	VO_0000812	'live attenuated pathogen as vaccine component'	VO_0000126	Lohman Animal Health International' or 'Merial, Inc'	<http://pur.obolibrary.og/obo/VO_0001027> or <http://pur.obolibrary.og/obo/VO_0001119>	2092
Fox Encephalitis Killed Virus Vaccine 	USDA: 1635.20	Canine adenovirus type 1  vaccine	VO_0001489	Canine adenovirus 1	10512	Carnivores	9625	USA	VO_0000812	'killed pathogen organism as vaccine component'	VO_0000395	United Vaccines, Inc	<http://pur.obolibrary.og/obo/VO_0000056>	1925
Feline calicivirus Killed Virus Vaccine 	USDA: 15C5.21	Feline calicivirus vaccine	VO_0001509	Feline calicivirus	11978	Cat	9685	USA	VO_0000812	'killed pathogen organism as vaccine component'	VO_0000395	Wyeth Pharmaceuticals Inc	<http://pur.obolibrary.og/obo/VO_0000701>	1766
Anthrax Spore live culture Vaccine 	USDA: 1011.00	Bacillus anthracis vaccine	VO_0000013	Bacillus anthracis	1392	Cattle	9913	USA	VO_0000812	'live attenuated pathogen as vaccine component'	VO_0000126	Colorado Serum Company CZ Veterinaria	<http://pur.obolibrary.og/obo/VO_0000890>	1122
Avian Encephalomyelitis Killed Virus Vaccine  	USDA: 1015.I0	Avian Encephalomyelitis Virus vaccine	VO_0001522	Avian encephalomyelitis virus	70796	Chicken	9031	USA	VO_0000812	'killed pathogen organism as vaccine component'	VO_0000395	SolidTech Animal Health, Inc	<http://pur.obolibrary.og/obo/VO_0000059>	1124
Duck Virus Hepatitis Modified Live Virus Vaccine 	USDA: 14B1.10	Duck hepatitis virus 1 vaccine	VO_0001528	Duck hepatitis A virus	691956	Ducks	8835	USA	VO_0000812	'live attenuated pathogen as vaccine component'	VO_0000126	International Duck Research Cooperative, Inc.	<http://pur.obolibrary.og/obo/VO_0001458>	1713
Flavobacterium Columnare Avirulent Live Culture Vaccine 	USDA: 17F1.00	Flavobacterium columnare vaccine	VO_0000637	Flavobacterium columnare	996	Fish	117565	USA	VO_0000812	'live attenuated pathogen as vaccine component'	VO_0000126	Intervet	<http://pur.obolibrary.og/obo/VO_0000204>	1902
Bordetella Bronchiseptica  Avirulent Live Culture Vaccine 	USDA: 1081.00	Bordetella bronchiseptica vaccine	VO_0000394	Bordetella bronchiseptica	518	Gray wolf	9612	USA	VO_0000812	'live attenuated pathogen as vaccine component'	VO_0000126	'MVP Laboratories, Inc' or 'Addison Biological Laboratory, Inc' or 'Wyeth Pharmaceuticals Inc'	<http://pur.obolibrary.og/obo/VO_0000701> or <http://pur.obolibrary.og/obo/VO_0000060> or <http://pur.obolibrary.og/obo/VO_0000061>	1172
Equine Influenza Killed Virus Vaccine 	USDA: 1505.10	Influenza virus vaccine	VO_0000642	influenza virus	11309	Horse	9796	USA	VO_0000812	'killed pathogen organism as vaccine component'	VO_0000395	ProtaTek International, Inc	<http://pur.obolibrary.og/obo/VO_0000264>	1735
Erysipelothrix Rhusiopathiae Avirulent Live Culture Vaccine 	USDA: 1541.00	Erysipelothrix rhusiopathiae vaccine	VO_0001456	Erysipelothrix rhusiopathiae	1648	Pig	9823	USA	VO_0000812	'live attenuated pathogen as vaccine component'	VO_0000126	Arko Laboratories Ltd' or 'Novartis Animal Health US, Inc.' or 'Boehringer-Ingelheim Vetmedica, Inc'	<http://pur.obolibrary.og/obo/VO_0000901> or <http://pur.obolibrary.og/obo/VO_0000570> or <http://pur.obolibrary.og/obo/VO_0000265>	1757
West Nile Virus Killed Virus Vaccine 	USDA: 1995.20	West Nile virus vaccine	VO_0000752	West Nile virus	11082	sei whale	9768	USA	VO_0000812	'killed pathogen organism as vaccine component'	VO_0000395	'Wyeth Pharmaceuticals Inc' or 'Boehringer-Ingelheim Vetmedica, Inc'	<http://pur.obolibrary.og/obo/VO_0000701> or <http://pur.obolibrary.og/obo/VO_0000901>	2147
Bluetongue Modified Live Virus Vaccine 	USDA: 1061.00	Bluetongue virus vaccine	VO_0001515	Bluetongue virus	40051	Sheep	9940	USA	VO_0000812	'live attenuated pathogen as vaccine component'	VO_0000126	Colorado Serum Company CZ Veterinaria	<http://pur.obolibrary.og/obo/VO_0000890>	1170
Bordetella Avium Avirulent Live Culture Vaccine 	USDA: 1021.01	Bordetella avium vaccine	VO_0001114	Bordetella avium	521	Turkey	9103	USA	VO_0000812	'live attenuated pathogen as vaccine component'	VO_0000126	Intervet or 'Arko Laboratories Ltd'	<http://pur.obolibrary.og/obo/VO_0000204> or <http://pur.obolibrary.og/obo/VO_0000265>	1171
Escherichia Coli Avirulent Live Culture Vaccine 	USDA: 1551.02	Escherichia coli vaccine	VO_0000041	Escherichia coli	562	Turkey	9103	USA	VO_0000812	'live attenuated pathogen as vaccine component'	VO_0000126	Arko Laboratories Ltd	<http://pur.obolibrary.og/obo/VO_0000265>	1762
Porcine Circovirus Type 2, Killed Baculovirus Vector Vaccine 	USDA: 19K5.R0	Porcine circovirus 2 vaccine	VO_0001524	Porcine circovirus 2	85708	Pig	9823	USA	VO_0000812	'killed pathogen organism as vaccine 
