Ontology ID	InSubset	Occupation Title	Cluster
ID	A http://www.geneontology.org/formats/oboInOwl#inSubset	A 'Alabama preferred label'	A 'Alabama Cluster'
OCCO:13202300	Alabama	Accountants & Auditors	Finance
OCCO:45209100	Alabama	Agricultural Equipment Operators	"Agriculture, Food & Natural Resources"
OCCO:49301100	Alabama	Aircraft Mechanics & Service Technicians	"Transportation, Distribution & Logistics"
OCCO:17302000	Alabama	Architectural & Civil Drafters	Architecture & Construction
OCCO:11904100	Alabama	Architectural & Engineering Managers	"Science, Technology, Engineering & Mathematics"
OCCO:27403000	Alabama	Audio & Video Technicians	"Arts, A/V Technology & Communications"
OCCO:53603100	Alabama	Automotive & Watercraft Service Attendants	"Transportation, Distribution & Logistics"
OCCO:49302100	Alabama	Automotive Body & Related Repairers	"Transportation, Distribution & Logistics"
OCCO:49305000	Alabama	Automotive Service Technicians & Mechanics	"Transportation, Distribution & Logistics"
OCCO:43304100	Alabama	Billing & Posting Clerks	"Transportation, Distribution & Logistics"
OCCO:49303100	Alabama	Bus & Truck Mechanics & Diesel Engine Specialists	"Transportation, Distribution & Logistics"
OCCO:53305200	Alabama	"Bus Drivers, Transit & Intercity"	"Transportation, Distribution & Logistics"
OCCO:51302100	Alabama	Butchers & Meat Cutters	Manufacturing
OCCO:51701100	Alabama	Cabinetmakers & Bench Carpenters	Manufacturing
OCCO:29203100	Alabama	Cardiovascular Technologists & Technicians	Health Science
OCCO:47205000	Alabama	Carpenters	Architecture & Construction
OCCO:47205100	Alabama	Cement Masons & Concrete Finishers	Architecture & Construction
OCCO:35101100	Alabama	Chefs & Head Cooks	Hospitality & Tourism
OCCO:19403100	Alabama	Chemical Technicians	Manufacturing
OCCO:21102100	Alabama	"Child, Family, & School Social Workers"	Human Services
OCCO:17302500	Alabama	Civil Engineering Technologists & Technicians	Architecture & Construction
OCCO:17205100	Alabama	Civil Engineers	Architecture & Construction
OCCO:29203000	Alabama	Clinical Laboratory Technologists & Technicians	Health Science
