Ontology ID	LABEL	SOC Ability Label	Parent	SOC ID	Definition	Reference	Term editors
ID	A rdfs:label		C %	A US SOC ID	A definition SPLIT=|	A definition source SPLIT=|	A term editor SPLIT=|
OCCO:00000060	arm-hand steadiness	Arm-Hand Steadiness	ability	1.A.2.a.1	The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000061	auditory attention	Auditory Attention	ability	1.A.4.b.2	The ability to focus on a single source of sound in the presence of other distracting sounds.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000062	category flexibility	Category Flexibility	ability	1.A.1.b.7	The ability to generate or use different sets of rules for combining or grouping things in different ways.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000063	control precision	Control Precision	ability	1.A.2.b.1	The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000064	deductive reasoning	Deductive Reasoning	ability	1.A.1.b.4	The ability to apply general rules to specific problems to produce answers that make sense.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000065	depth perception	Depth Perception	ability	1.A.4.a.6	"The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000066	dynamic flexibility	Dynamic Flexibility	ability	1.A.3.c.2	"The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000067	dynamic strength	Dynamic Strength	ability	1.A.3.a.3	The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000068	explosive strength	Explosive Strength	ability	1.A.3.a.2	"The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000069	extent flexibility	Extent Flexibility	ability	1.A.3.c.1	"The ability to bend, stretch, twist, or reach with your body, arms, and/or legs."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000070	far vision	Far Vision	ability	1.A.4.a.2	The ability to see details at a distance.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000071	finger dexterity	Finger Dexterity	ability	1.A.2.a.3	"The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000072	flexibility of closure	Flexibility of Closure	ability	1.A.1.e.2	"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000073	fluency of ideas	Fluency of Ideas	ability	1.A.1.b.1	"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity)."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000074	glare sensitivity	Glare Sensitivity	ability	1.A.4.a.7	The ability to see objects in the presence of a glare or bright lighting.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000075	gross body coordination	Gross Body Coordination	ability	1.A.3.c.3	"The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000076	gross body equilibrium	Gross Body Equilibrium	ability	1.A.3.c.4	The ability to keep or regain your body balance or stay upright when in an unstable position.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000077	hearing sensitivity	Hearing Sensitivity	ability	1.A.4.b.1	The ability to detect or tell the differences between sounds that vary in pitch and loudness.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000078	inductive reasoning	Inductive Reasoning	ability	1.A.1.b.5	The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000079	information ordering	Information Ordering	ability	1.A.1.b.6	"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations)."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000080	manual dexterity	Manual Dexterity	ability	1.A.2.a.2	"The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000081	mathematical reasoning	Mathematical Reasoning	ability	1.A.1.c.1	The ability to choose the right mathematical methods or formulas to solve a problem.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000082	memorization	Memorization	ability	1.A.1.d.1	"The ability to remember information such as words, numbers, pictures, and procedures."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000083	multilimb coordination	Multilimb Coordination	ability	1.A.2.b.2	"The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000084	near vision	Near Vision	ability	1.A.4.a.1	The ability to see details at close range (within a few feet of the observer).	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000085	night vision	Night Vision	ability	1.A.4.a.4	The ability to see under low-light conditions.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000086	number facility	Number Facility	ability	1.A.1.c.2	"The ability to add, subtract, multiply, or divide quickly and correctly."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000087	oral comprehension	Oral Comprehension	ability	1.A.1.a.1	The ability to listen to and understand information and ideas presented through spoken words and sentences.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000088	oral expression	Oral Expression	ability	1.A.1.a.3	The ability to communicate information and ideas in speaking so others will understand.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000089	originality	Originality	ability	1.A.1.b.2	"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000090	perceptual speed	Perceptual Speed	ability	1.A.1.e.3	"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000091	peripheral vision	Peripheral Vision	ability	1.A.4.a.5	The ability to see objects or movement of objects to one's side when the eyes are looking ahead.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000092	problem sensitivity	Problem Sensitivity	ability	1.A.1.b.3	"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000093	rate control	Rate Control	ability	1.A.2.b.4	The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000094	reaction time	Reaction Time	ability	1.A.2.c.1	"The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000095	response orientation	Response Orientation	ability	1.A.2.b.3	"The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part."	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000096	selective attention	Selective Attention	ability	1.A.1.g.1	The ability to concentrate on a task over a period of time without being distracted.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000097	sound localization	Sound Localization	ability	1.A.4.b.3	The ability to tell the direction from which a sound originated.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
OCCO:00000098	spatial orientation	Spatial Orientation	ability	1.A.1.f.1	The ability to know your location in relation to the environment or to know where other objects are in relation to you.	https://www.onetonline.org/find/descriptor/browse/1.A/1.A.1/1.A.1.g	Sam Smith|Oliver He
