Ontology ID	Label	Job Zone
ID		C 'has job zone' value % SPLIT=|
OCCO:13201100	Accountants and Auditors	4
OCCO:27201100	Actors	2
OCCO:15201100	Actuaries	4
OCCO:29129100	Acupuncturists	5
OCCO:29114101	Acute Care Nurses	3
OCCO:25205901	Adapted Physical Education Specialists	5
OCCO:51919100	Adhesive Bonding Machine Operators and Tenders	2
OCCO:23102100	"Administrative Law Judges, Adjudicators, and Hearing Officers"	5
OCCO:11301200	Administrative Services Managers	3
OCCO:25301100	"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"	4
OCCO:29114102	Advanced Practice Psychiatric Nurses	5
OCCO:11201100	Advertising and Promotions Managers	4
OCCO:41301100	Advertising Sales Agents	4
OCCO:17302100	Aerospace Engineering and Operations Technologists and Technicians	3
OCCO:17201100	Aerospace Engineers	4
OCCO:13101100	"Agents and Business Managers of Artists, Performers, and Athletes"	4
OCCO:17202100	Agricultural Engineers	4
OCCO:45209100	Agricultural Equipment Operators	1
OCCO:45201100	Agricultural Inspectors	2
OCCO:25104100	"Agricultural Sciences Teachers, Postsecondary"	5
OCCO:19401200	Agricultural Technicians	3
OCCO:53202100	Air Traffic Controllers	3
OCCO:53104100	Aircraft Cargo Handling Supervisors	2
OCCO:49301100	Aircraft Mechanics and Service Technicians	3
OCCO:53603200	Aircraft Service Attendants	2
OCCO:51201100	"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"	2
OCCO:53202200	Airfield Operations Specialists	3
OCCO:53201100	"Airline Pilots, Copilots, and Flight Engineers"	4
OCCO:29122901	Allergists and Immunologists	5
OCCO:53301100	"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"	2
OCCO:39309100	Amusement and Recreation Attendants	1
OCCO:29107101	Anesthesiologist Assistants	5
OCCO:29121100	Anesthesiologists	5
OCCO:45202100	Animal Breeders	2
OCCO:39202100	Animal Caretakers	2
OCCO:33901100	Animal Control Workers	2
OCCO:19101100	Animal Scientists	5
OCCO:39201100	Animal Trainers	2
OCCO:19309100	Anthropologists and Archeologists	5
OCCO:25106100	"Anthropology and Archeology Teachers, Postsecondary"	5
OCCO:13202300	Appraisers and Assessors of Real Estate	4
OCCO:13202200	Appraisers of Personal and Business Property	4
OCCO:23102200	"Arbitrators, Mediators, and Conciliators"	5
OCCO:17101100	"Architects, Except Landscape and Naval"	5
OCCO:17301100	Architectural and Civil Drafters	3
