Ontology ID	LABEL	Entity type	SubClass Of [NAMED]	alternative term	definition	definition source	Reference web link (top ability)	term editor	desposition	role	SubProperty Of
ID	A rdfs:label	TYPE	C %	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A definition source SPLIT=|	A term editor SPLIT=|	EC 'has disposition' some %	SC 'has role' some %	SP %
OCCO:11101100	chief executive	Class	chief executive (broad)	Chief Executives	"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."		https://www.bls.gov/oes/current/oes111011.htm	Sam Smith|Oliver He			
OCCO:11101103	chief sustainability officer	Class	chief executive (broad)	Chief Sustainability Officers	"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy."		https://www.bls.gov/oes/current/oes111011.htm	Sam Smith|Oliver He			
OCCO:11102100	general or operations manager	Class	general or operations manager (broad)	General and Operations Managers	"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors."		https://www.bls.gov/oes/current/oes111021.htm	Sam Smith|Oliver He			
OCCO:11201100	advertising or promotions manager	Class	advertising or promotions manager (broad)	Advertising and Promotions Managers	"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."		https://www.bls.gov/oes/current/oes112011.htm	Sam Smith|Oliver He			
OCCO:11202100	marketing manager	Class	marketing or sales manager	Marketing Managers	"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services."		https://www.bls.gov/oes/current/oes112021.htm	Sam Smith|Oliver He			
OCCO:11202200	sales manager	Class	marketing or sales manager	Sales Managers	"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."		https://www.bls.gov/oes/current/oes112022.htm	Sam Smith|Oliver He			
OCCO:11301200	administrative services manager	Class	administrative services or facilities manager	Administrative Services Managers	"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services."		https://www.bls.gov/oes/current/oes113012.htm	Sam Smith|Oliver He			
OCCO:11301301	security manager	Class	administrative services or facilities manager	Security Managers	"Direct an organization's security functions, including physical security and safety of employees and facilities."		https://www.bls.gov/oes/current/oes113013.htm	Sam Smith|Oliver He			
OCCO:11302100	computer or information systems manager	Class	computer or information systems manager (broad)	Computer and Information Systems Managers	"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."		https://www.bls.gov/oes/current/oes113021.htm	Sam Smith|Oliver He			
