Ontology ID	OccO Label	Abilities
ID		A top occupation abilities SPLIT=|
OCCO:11101100	chief executives	Oral Comprehension|Oral Expression|Written Comprehension|Written Expression|Speech Recognition|Speech Clarity
OCCO:11101103	chief sustainability officers	Written Comprehension|Speech Recognition|Speech Clarity|Oral Expression|Oral Comprehension|Inductive Reasoning
OCCO:11102100	general and operations managers	Written Expression|Written Comprehension|Speech Clarity|Problem Sensitivity|Oral Expression|Oral Comprehension
OCCO:11201100	advertising and promotions managers	Oral Expression|Written Comprehension|Speech Clarity|Oral Comprehension|Written Expression|Speech Recognition
OCCO:11202100	marketing managers	Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Deductive Reasoning|Speech Clarity
OCCO:11202200	sales managers	Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Speech Recognition|Speech Clarity
OCCO:11301200	administrative services managers	Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Speech Recognition|Speech Clarity
OCCO:11301301	security managers	Problem Sensitivity|Oral Expression|Oral Comprehension|Speech Recognition|Inductive Reasoning|Deductive Reasoning
OCCO:11302100	computer and information systems managers	Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension|Inductive Reasoning|Deductive Reasoning
OCCO:11303101	treasurers and controllers	Inductive Reasoning|Deductive Reasoning|Written Comprehension|Problem Sensitivity|Oral Expression|Oral Comprehension
OCCO:11303103	investment fund managers	Deductive Reasoning|Written Comprehension|Oral Expression|Oral Comprehension|Mathematical Reasoning|Information Ordering
OCCO:11305100	industrial production managers	Problem Sensitivity|Oral Comprehension|Deductive Reasoning|Written Comprehension|Oral Expression|Information Ordering
OCCO:11305101	quality control systems managers	Problem Sensitivity|Written Comprehension|Oral Expression|Oral Comprehension|Written Expression|Near Vision
OCCO:11305102	geothermal production managers	Oral Expression|Oral Comprehension|Problem Sensitivity|Deductive Reasoning|Inductive Reasoning|Speech Recognition
OCCO:11305103	biofuels production managers	Oral Comprehension|Written Comprehension|Oral Expression|Speech Clarity|Written Expression|Problem Sensitivity
OCCO:11305104	biomass power plant managers	Oral Comprehension|Problem Sensitivity|Written Comprehension|Oral Expression|Deductive Reasoning|Speech Recognition
OCCO:11305106	hydroelectric production managers	Written Comprehension|Oral Expression|Oral Comprehension|Problem Sensitivity|Deductive Reasoning|Inductive Reasoning
