Ontology ID	OccO Label	Abilities
ID		C 'has ability' some % SPLIT=|
OCCO:11101100	chief executives	oral comprehension| oral expression| written comprehension| written expression| speech recognition| speech clarity
OCCO:11101103	chief sustainability officers	written comprehension| speech recognition| speech clarity| oral expression| oral comprehension| inductive reasoning
OCCO:11102100	general and operations managers	written expression| written comprehension| speech clarity| problem sensitivity| oral expression| oral comprehension
OCCO:11201100	advertising and promotions managers	oral expression| written comprehension| speech clarity| oral comprehension| written expression| speech recognition
OCCO:11202100	marketing managers	written comprehension| oral expression| oral comprehension| written expression| deductive reasoning| speech clarity
OCCO:11202200	sales managers	written comprehension| oral expression| oral comprehension| written expression| speech recognition| speech clarity
OCCO:11301200	administrative services managers	written comprehension| oral expression| oral comprehension| written expression| speech recognition| speech clarity
OCCO:11301301	security managers	problem sensitivity| oral expression| oral comprehension| speech recognition| inductive reasoning| deductive reasoning
OCCO:11302100	computer and information systems managers	written comprehension| problem sensitivity| oral expression| oral comprehension| inductive reasoning| deductive reasoning
OCCO:11303101	treasurers and controllers	inductive reasoning| deductive reasoning| written comprehension| problem sensitivity| oral expression| oral comprehension
OCCO:11303103	investment fund managers	deductive reasoning| written comprehension| oral expression| oral comprehension| mathematical reasoning| information ordering
OCCO:11305100	industrial production managers	problem sensitivity| oral comprehension| deductive reasoning| written comprehension| oral expression| information ordering
OCCO:11305101	quality control systems managers	problem sensitivity| written comprehension| oral expression| oral comprehension| written expression| near vision
OCCO:11305102	geothermal production managers	oral expression| oral comprehension| problem sensitivity| deductive reasoning| inductive reasoning| speech recognition
OCCO:11305103	biofuels production managers	oral comprehension| written comprehension| oral expression| speech clarity| written expression| problem sensitivity
OCCO:11305104	biomass power plant managers	oral comprehension| problem sensitivity| written comprehension| oral expression| deductive reasoning| speech recognition
OCCO:11305106	hydroelectric production managers	written comprehension| oral expression| oral comprehension| problem sensitivity| deductive reasoning| inductive reasoning
OCCO:11306100	purchasing managers	oral comprehension| fluency of ideas| written comprehension| oral expression| written expression| speech recognition
OCCO:11307104	supply chain managers	written expression| written comprehension| oral expression| oral comprehension| problem sensitivity| information ordering
OCCO:11311100	compensation and benefits managers	written expression| written comprehension| oral expression| oral comprehension| speech recognition| speech clarity
OCCO:11312100	human resources managers	oral expression| oral comprehension| written comprehension| written expression| speech recognition| speech clarity
OCCO:11313100	training and development managers	oral expression| written expression| written comprehension| speech clarity| oral comprehension| fluency of ideas
OCCO:11902100	construction managers	problem sensitivity| information ordering| deductive reasoning| written comprehension| oral expression| oral comprehension
OCCO:11903300	"education administrators, postsecondary"	written expression| written comprehension| problem sensitivity| oral expression| speech recognition| speech clarity
OCCO:11904100	architectural and engineering managers	written comprehension| oral expression| oral comprehension| problem sensitivity| inductive reasoning| deductive reasoning
OCCO:11904101	biofuels/biodiesel technology and product development managers	written comprehension| problem sensitivity| oral comprehension| deductive reasoning| written expression| information ordering
OCCO:11905100	food service managers	oral expression| oral comprehension| problem sensitivity| written comprehension| speech clarity| deductive reasoning
OCCO:11908100	lodging managers	oral expression| written expression| written comprehension| speech recognition| speech clarity| problem sensitivity
OCCO:11911100	medical and health services managers	oral expression| written comprehension| oral comprehension| written expression| speech clarity| problem sensitivity
OCCO:11912100	natural sciences managers	written expression| written comprehension| oral expression| oral comprehension| inductive reasoning| deductive reasoning
OCCO:11912101	clinical research coordinators	written comprehension| oral expression| oral comprehension| written expression| speech recognition| inductive reasoning
OCCO:11912102	water resource specialists	written comprehension| oral comprehension| written expression| problem sensitivity| inductive reasoning| deductive reasoning
OCCO:11913100	postmasters and mail superintendents	written comprehension| oral expression| oral comprehension| speech recognition| speech clarity| deductive reasoning
OCCO:11914100	"property, real estate, and community association managers"	written comprehension| oral expression| oral comprehension| speech clarity| problem sensitivity| written expression
OCCO:11915100	social and community service managers	oral expression| oral comprehension| written comprehension| problem sensitivity| written expression| speech recognition
OCCO:11916100	emergency management directors	oral expression| oral comprehension| written expression| written comprehension| problem sensitivity| inductive reasoning
OCCO:11917901	fitness and wellness coordinators	oral expression| oral comprehension| deductive reasoning| written comprehension| speech recognition| speech clarity
OCCO:11917902	spa managers	problem sensitivity| oral expression| oral comprehension| speech recognition| speech clarity| deductive reasoning
OCCO:11919901	regulatory affairs managers	written comprehension| written expression| oral expression| oral comprehension| speech clarity| problem sensitivity
OCCO:11919902	compliance managers	problem sensitivity| oral expression| written expression| written comprehension| oral comprehension| deductive reasoning
OCCO:11919908	loss prevention managers	problem sensitivity| written expression| written comprehension| oral expression| oral comprehension| speech clarity
OCCO:11919909	wind energy operations managers	oral comprehension| problem sensitivity| oral expression| written comprehension| speech recognition| speech clarity
OCCO:11919911	brownfield redevelopment specialists and site managers	problem sensitivity| oral expression| oral comprehension| inductive reasoning| deductive reasoning| written expression
OCCO:13101100	"agents and business managers of artists, performers, and athletes"	oral expression| oral comprehension| written comprehension| speech recognition| speech clarity| problem sensitivity
OCCO:13102100	"buyers and purchasing agents, farm products"	oral expression| written comprehension| speech clarity| oral comprehension| deductive reasoning| speech recognition
OCCO:13102200	"wholesale and retail buyers, except farm products"	oral expression| oral comprehension| written comprehension| deductive reasoning| speech clarity| problem sensitivity
OCCO:13102300	"purchasing agents, except wholesale, retail, and farm products"	written comprehension| oral expression| oral comprehension| speech recognition| deductive reasoning| written expression
OCCO:13103200	"insurance appraisers, auto damage"	oral expression| oral comprehension| written comprehension| problem sensitivity| written expression| speech recognition
OCCO:13104101	environmental compliance inspectors	problem sensitivity| inductive reasoning| written comprehension| oral expression| oral comprehension| near vision
OCCO:13104103	equal opportunity representatives and officers	written comprehension| oral comprehension| written expression| problem sensitivity| oral expression| inductive reasoning
OCCO:13104104	government property inspectors and investigators	inductive reasoning| written expression| written comprehension| problem sensitivity| oral expression| oral comprehension
OCCO:13104106	coroners	written comprehension| oral expression| oral comprehension| inductive reasoning| deductive reasoning| written expression
OCCO:13104107	regulatory affairs specialists	written comprehension| written expression| oral expression| oral comprehension| problem sensitivity| speech clarity
OCCO:13104108	customs brokers	written comprehension| deductive reasoning| written expression| oral expression| oral comprehension| near vision
OCCO:13105100	cost estimators	oral expression| oral comprehension| number facility| mathematical reasoning| inductive reasoning| written comprehension
OCCO:13107100	human resources specialists	written comprehension| oral expression| oral comprehension| written expression| speech recognition| deductive reasoning
OCCO:13107400	farm labor contractors	oral comprehension| oral expression| speech clarity| speech recognition| problem sensitivity| near vision
OCCO:13107500	labor relations specialists	oral expression| oral comprehension| written comprehension| problem sensitivity| written expression| deductive reasoning
