Ontology ID	OccO Label	Skills
ID		A top occupation skills SPLIT=|
OCCO:11101100	chief executives	Judgment and Decision Making|Speaking|Critical Thinking|Complex Problem Solving|Social Perceptiveness|Management of Personnel Resources
OCCO:11101103	chief sustainability officers	Speaking|Reading Comprehension|Critical Thinking|Complex Problem Solving|Writing|Active Listening
OCCO:11102100	general and operations managers	Speaking|Social Perceptiveness|Monitoring|Coordination|Active Listening|Reading Comprehension
OCCO:11201100	advertising and promotions managers	Speaking|Social Perceptiveness|Active Listening|Time Management|Writing|Reading Comprehension
OCCO:11202100	marketing managers	Speaking|Social Perceptiveness|Reading Comprehension|Critical Thinking|Active Listening|Active Learning
OCCO:11202200	sales managers	Persuasion|Speaking|Active Listening|Social Perceptiveness|Service Orientation|Reading Comprehension
OCCO:11301200	administrative services managers	Speaking|Active Listening|Coordination|Writing|Time Management|Reading Comprehension
OCCO:11301301	security managers	Speaking|Reading Comprehension|Critical Thinking|Active Listening|Writing|Judgment and Decision Making
OCCO:11302100	computer and information systems managers	Critical Thinking|Reading Comprehension|Active Listening|Speaking|Monitoring|Judgment and Decision Making
OCCO:11303101	treasurers and controllers	Judgment and Decision Making|Critical Thinking|Speaking|Reading Comprehension|Management of Financial Resources|Complex Problem Solving
OCCO:11303103	investment fund managers	Reading Comprehension|Critical Thinking|Active Listening|Speaking|Judgment and Decision Making|Complex Problem Solving
OCCO:11305100	industrial production managers	Speaking|Monitoring|Critical Thinking|Time Management|Coordination|Reading Comprehension
OCCO:11305101	quality control systems managers	Reading Comprehension|Quality Control Analysis|Judgment and Decision Making|Monitoring|Active Listening|Writing
OCCO:11305102	geothermal production managers	Critical Thinking|Speaking|Reading Comprehension|Monitoring|Judgment and Decision Making|Coordination
OCCO:11305103	biofuels production managers	Reading Comprehension|Management of Personnel Resources|Critical Thinking|Monitoring|Active Listening|Speaking
OCCO:11305104	biomass power plant managers	Critical Thinking|Speaking|Time Management|Reading Comprehension|Monitoring|Management of Personnel Resources
OCCO:11305106	hydroelectric production managers	Speaking|Active Listening|Reading Comprehension|Monitoring|Judgment and Decision Making|Time Management
OCCO:11306100	purchasing managers	Coordination|Speaking|Critical Thinking|Active Listening|Time Management|Social Perceptiveness
OCCO:11307104	supply chain managers	Speaking|Reading Comprehension|Active Listening|Monitoring|Coordination|Complex Problem Solving
OCCO:11311100	compensation and benefits managers	Speaking|Reading Comprehension|Active Listening|Critical Thinking|Judgment and Decision Making|Time Management
OCCO:11312100	human resources managers	Speaking|Social Perceptiveness|Management of Personnel Resources|Active Listening|Reading Comprehension|Critical Thinking
OCCO:11313100	training and development managers	Speaking|Learning Strategies|Instructing|Coordination|Active Listening|Critical Thinking
OCCO:11902100	construction managers	Speaking|Critical Thinking|Active Listening|Time Management|Reading Comprehension|Management of Personnel Resources
OCCO:11903300	"education administrators, postsecondary"	Speaking|Reading Comprehension|Critical Thinking|Active Listening|Writing|Monitoring
OCCO:11904100	architectural and engineering managers	Reading Comprehension|Critical Thinking|Active Listening|Time Management|Speaking|Judgment and Decision Making
OCCO:11904101	biofuels/biodiesel technology and product development managers	Writing|Systems Analysis|Speaking|Reading Comprehension|Judgment and Decision Making|Critical Thinking
OCCO:11905100	food service managers	Service Orientation|Speaking|Critical Thinking|Coordination|Time Management|Social Perceptiveness
OCCO:11908100	lodging managers	Coordination|Active Listening|Speaking|Management of Personnel Resources|Critical Thinking|Time Management
OCCO:11911100	medical and health services managers	Speaking|Critical Thinking|Writing|Time Management|Reading Comprehension|Judgment and Decision Making
OCCO:11912100	natural sciences managers	Writing|Speaking|Reading Comprehension|Critical Thinking|Active Listening|Science
OCCO:11912101	clinical research coordinators	Writing|Reading Comprehension|Coordination|Active Listening|Speaking|Critical Thinking
OCCO:11912102	water resource specialists	Reading Comprehension|Systems Analysis|Complex Problem Solving|Active Listening|Writing|Systems Evaluation
OCCO:11913100	postmasters and mail superintendents	Time Management|Speaking|Social Perceptiveness|Reading Comprehension|Coordination|Active Listening
OCCO:11914100	"property, real estate, and community association managers"	Speaking|Coordination|Active Listening|Reading Comprehension|Negotiation|Writing
OCCO:11915100	social and community service managers	Active Listening|Time Management|Speaking|Social Perceptiveness|Management of Personnel Resources|Judgment and Decision Making
OCCO:11916100	emergency management directors	Service Orientation|Speaking|Critical Thinking|Coordination|Complex Problem Solving|Writing
OCCO:11917901	fitness and wellness coordinators	Speaking|Social Perceptiveness|Critical Thinking|Coordination|Reading Comprehension|Active Listening
OCCO:11917902	spa managers	Speaking|Monitoring|Coordination|Social Perceptiveness|Service Orientation|Management of Personnel Resources
OCCO:11919901	regulatory affairs managers	Reading Comprehension|Writing|Speaking|Judgment and Decision Making|Critical Thinking|Active Listening
OCCO:11919902	compliance managers	Reading Comprehension|Critical Thinking|Monitoring|Active Listening|Writing|Coordination
OCCO:11919908	loss prevention managers	Speaking|Reading Comprehension|Monitoring|Critical Thinking|Active Listening|Writing
OCCO:11919909	wind energy operations managers	Speaking|Monitoring|Critical Thinking|Active Listening|Social Perceptiveness|Reading Comprehension
OCCO:11919911	brownfield redevelopment specialists and site managers	Speaking|Critical Thinking|Reading Comprehension|Coordination|Complex Problem Solving|Writing
OCCO:13101100	"agents and business managers of artists, performers, and athletes"	Speaking|Persuasion|Social Perceptiveness|Negotiation|Active Listening|Reading Comprehension
OCCO:13102100	"buyers and purchasing agents, farm products"	Speaking|Critical Thinking|Active Listening|Reading Comprehension|Persuasion|Negotiation
OCCO:13102200	"wholesale and retail buyers, except farm products"	Negotiation|Speaking|Persuasion|Critical Thinking|Active Listening|Judgment and Decision Making
