Ontology ID	OccO Label	Skills
ID		C 'has skill' some % SPLIT=|
OCCO:11101100	chief executives	judgment and decision making| speaking| critical thinking| complex problem solving| social perceptiveness| management of personnel resources
OCCO:11101103	chief sustainability officers	speaking| reading comprehension| critical thinking| complex problem solving| writing| active listening
OCCO:11102100	general and operations managers	speaking| social perceptiveness| monitoring| coordination| active listening| reading comprehension
OCCO:11201100	advertising and promotions managers	speaking| social perceptiveness| active listening| time management| writing| reading comprehension
OCCO:11202100	marketing managers	speaking| social perceptiveness| reading comprehension| critical thinking| active listening| active learning
OCCO:11202200	sales managers	persuasion| speaking| active listening| social perceptiveness| service orientation| reading comprehension
OCCO:11301200	administrative services managers	speaking| active listening| coordination| writing| time management| reading comprehension
OCCO:11301301	security managers	speaking| reading comprehension| critical thinking| active listening| writing| judgment and decision making
OCCO:11302100	computer and information systems managers	critical thinking| reading comprehension| active listening| speaking| monitoring| judgment and decision making
OCCO:11303101	treasurers and controllers	judgment and decision making| critical thinking| speaking| reading comprehension| management of financial resources| complex problem solving
OCCO:11303103	investment fund managers	reading comprehension| critical thinking| active listening| speaking| judgment and decision making| complex problem solving
OCCO:11305100	industrial production managers	speaking| monitoring| critical thinking| time management| coordination| reading comprehension
OCCO:11305101	quality control systems managers	reading comprehension| quality control analysis| judgment and decision making| monitoring| active listening| writing
OCCO:11305102	geothermal production managers	critical thinking| speaking| reading comprehension| monitoring| judgment and decision making| coordination
OCCO:11305103	biofuels production managers	reading comprehension| management of personnel resources| critical thinking| monitoring| active listening| speaking
OCCO:11305104	biomass power plant managers	critical thinking| speaking| time management| reading comprehension| monitoring| management of personnel resources
OCCO:11305106	hydroelectric production managers	speaking| active listening| reading comprehension| monitoring| judgment and decision making| time management
OCCO:11306100	purchasing managers	coordination| speaking| critical thinking| active listening| time management| social perceptiveness
OCCO:11307104	supply chain managers	speaking| reading comprehension| active listening| monitoring| coordination| complex problem solving
OCCO:11311100	compensation and benefits managers	speaking| reading comprehension| active listening| critical thinking| judgment and decision making| time management
OCCO:11312100	human resources managers	speaking| social perceptiveness| management of personnel resources| active listening| reading comprehension| critical thinking
OCCO:11313100	training and development managers	speaking| learning strategies| instructing| coordination| active listening| critical thinking
OCCO:11902100	construction managers	speaking| critical thinking| active listening| time management| reading comprehension| management of personnel resources
OCCO:11903300	"education administrators, postsecondary"	speaking| reading comprehension| critical thinking| active listening| writing| monitoring
OCCO:11904100	architectural and engineering managers	reading comprehension| critical thinking| active listening| time management| speaking| judgment and decision making
OCCO:11904101	biofuels/biodiesel technology and product development managers	writing| systems analysis| speaking| reading comprehension| judgment and decision making| critical thinking
OCCO:11905100	food service managers	service orientation| speaking| critical thinking| coordination| time management| social perceptiveness
OCCO:11908100	lodging managers	coordination| active listening| speaking| management of personnel resources| critical thinking| time management
OCCO:11911100	medical and health services managers	speaking| critical thinking| writing| time management| reading comprehension| judgment and decision making
OCCO:11912100	natural sciences managers	writing| speaking| reading comprehension| critical thinking| active listening| science
OCCO:11912101	clinical research coordinators	writing| reading comprehension| coordination| active listening| speaking| critical thinking
OCCO:11912102	water resource specialists	reading comprehension| systems analysis| complex problem solving| active listening| writing| systems evaluation
OCCO:11913100	postmasters and mail superintendents	time management| speaking| social perceptiveness| reading comprehension| coordination| active listening
OCCO:11914100	"property, real estate, and community association managers"	speaking| coordination| active listening| reading comprehension| negotiation| writing
OCCO:11915100	social and community service managers	active listening| time management| speaking| social perceptiveness| management of personnel resources| judgment and decision making
OCCO:11916100	emergency management directors	service orientation| speaking| critical thinking| coordination| complex problem solving| writing
OCCO:11917901	fitness and wellness coordinators	speaking| social perceptiveness| critical thinking| coordination| reading comprehension| active listening
OCCO:11917902	spa managers	speaking| monitoring| coordination| social perceptiveness| service orientation| management of personnel resources
OCCO:11919901	regulatory affairs managers	reading comprehension| writing| speaking| judgment and decision making| critical thinking| active listening
OCCO:11919902	compliance managers	reading comprehension| critical thinking| monitoring| active listening| writing| coordination
